Team,Player,Model24,Actual23,Actual22,Actual21,Actual20,regression,uncertainty,|prediction-actual23|
ARI,Ryne Nelson,90,144,18.1,0,0,97.215,51.5713314,46.785
ARI,Eduardo Rodriguez,140,152.2,91,157.2,0,132.61,26.44760019,19.59
ARI,Brandon Pfaadt,115,96,0,0,0,76.75,50.33443707,19.25
ARI,Zac Gallen,190,210,184,121.1,194.4,195.875,11.11555467,14.125
ARI,Merrill Kelly,165,177.2,200.1,158,84,171.965,14.54976136,5.235
ATL,Bryce Elder,90,174.2,54,0,0,117.7,50.36939106,56.5
ATL,Max Fried,165,77.2,185.1,165.2,151.2,123.435,46.85113541,46.235
ATL,Spencer Strider,190,186.2,131.2,2.1,0,160.385,26.86774191,25.815
ATL,Chris Sale,115,102.2,5.2,42.2,0,82.74,49.0225345,19.46
ATL,Charlie Morton,140,163.1,172,185.2,102.6,156.74,13.48587739,6.36
BAL,John Means,115,23.2,8,146.2,116.6,54.69,47.26671368,31.49
BAL,Grayson Rodriguez,140,122,0,0,0,96,62.18967403,26
BAL,Dean Kremer,165,172.2,125.1,53.2,49.1,151.23,20.71569453,20.97
BAL,Cole Irvin,90,77.1,181,178.1,8.6,97.535,46.23925701,20.435
BAL,Kyle Bradish,190,168.2,117.2,0,0,149.18,30.50697552,19.02
BAL,Cade Povich,65,0,0,0,0,16.25,30.64129385,16.25
BOS,Brayan Bello,90,157,57.1,0,0,109.565,41.56844423,47.435
BOS,Kutter Crawford,140,129.1,77.1,2,0,111.215,27.44533962,17.885
BOS,Tanner Houck,115,106,60,69,45.9,96.495,24.08780235,9.505
BOS,Chris Murphy,65,47.2,0,0,0,39.85,27.42602171,7.35
BOS,Nick Pivetta,165,142.2,179.2,155,41,149.03,15.24058908,6.83
BOS,Lucas Giolito,190,184.1,161.2,178.2,194.7,182.375,12.42157621,1.725
CHC,Hayden Wesneski,65,89.1,33,0,0,65.75,22.97829894,23.35
CHC,Javier Addad,90,0,0,0,0,22.5,42.42640687,22.5
CHC,Justin Steele,190,173.1,119,57,0,154.75,30.28277838,18.35
CHC,Jordan Wicks,115,34.2,0,0,0,45.85,48.21627203,11.65
CHC,Jameson Taillon,165,154.1,177.1,144.1,0,152.07,9.393969697,2.03
CHC,Kyle Hendricks,140,137,84.1,181,219,136.115,25.67363542,0.885
CHW,Erik Fedde,165,0,0,0,0,41.25,77.78174593,41.25
CHW,Michael Soroka,90,0,0,0,0,22.5,42.42640687,22.5
CHW,Nick Nastrini,65,0,0,0,0,16.25,30.64129385,16.25
CHW,Michael Kopech,115,129.1,119.1,69.1,0,114.62,5.921899095,14.48
CHW,Dylan Cease,190,177,184,165.2,156.9,179.705,5.31245915,2.705
CHW,Touki Toussaint,140,87,25.1,50,65.1,88.02,46.95461165,1.02
CIN,Frankie Montas,140,1.1,144.1,187,143.1,73.67,66.46554663,72.57
CIN,Brandon Williamson,65,117,0,0,0,74.75,47.86323107,42.25
CIN,Andrew Abbott,115,109.1,0,0,0,83.3,52.87576635,25.8
CIN,Nick Lodolo,90,34.1,103.1,0,0,55.015,29.92104425,20.915
CIN,Graham Ashcraft,165,145.2,105,0,0,129.6,24.96237168,15.6
CIN,Hunter Greene,190,112,125.2,0,0,122.28,34.08694765,10.28
CLE,Triston McKenzie,165,16,191.1,120,89.4,88.385,77.13063954,72.385
CLE,Tanner Bibee,140,142,0,0,0,106,66.47305218,36
CLE,Logan Allen,90,125.1,7.2,50.1,27.5,90.01,49.42812964,35.09
CLE,Gavin Willians,115,0,0,0,0,28.75,54.21151989,28.75
CLE,Shane Bieber,190,128,200,96.2,208.2,156.72,31.84685577,28.72
CLE,Joey Cantillo,65,0,0,0,0,16.25,30.64129385,16.25
COL,Cal Quantrill,165,99.2,186.1,149.2,86.4,130.545,37.00819729,31.345
COL,Peter Lambert,65,87.1,0,5.2,0,60.06,36.96818452,27.04
COL,Ryan Feltner,115,43.1,97.1,6.1,0,65.17,30.56144994,22.07
COL,Kyle Freeland,190,155.2,174.2,120.2,189.5,166.715,14.22704779,11.515
COL,Dakota Hudson,90,81.1,139.2,8.2,105.3,89.605,25.55051641,8.505
COL,Austin Gomber,140,139,124.2,115.1,78.3,132.8,7.224033961,6.2
DET,Tarik Skubal,190,80.1,117.2,149.1,86.4,116.905,45.64873127,36.805
DET,Reese Olson,90,103.2,0,0,0,74.1,45.85542498,29.1
DET,Casey Mize,65,0,10,150.1,75.9,29.05,28.57738033,29.05
DET,Jack Flaherty,165,144.1,36,78.1,108.3,128.02,56.53260613,16.08
DET,Matt Manning,115,78,63,85.1,0,81.455,21.85304454,3.455
DET,Kenta Maeda,140,104.1,0,106.1,178.7,101.29,59.37229058,2.81
HOU,Hunter Brown,115,155.2,20.1,0,0,109.365,56.64122958,45.835
HOU,J.P. France,90,136.1,0,0,0,90.55,56.51786345,45.55
HOU,Lance McCullers Jr.,65,0,47.2,162.1,148.5,38.86,27.42602171,38.86
HOU,Christian Javier,140,0,0,0,0,35,65.99663291,35
HOU,Justin Verlander,165,162.1,175,0,16.2,149.36,5.52589862,12.74
HOU,Framber Valdez,190,198,201.1,134.2,189.5,192.85,4.676418383,5.15
KCR,Seth Lugo,115,146.1,65,46.1,97.7,118.74,33.40728463,27.36
KCR,Jordan Lyles,90,177.2,179,180,154.4,154.67,41.53723898,22.53
KCR,Daniel Lynch IV,65,0,0,0,0,16.25,30.64129385,16.25
KCR,Cole Ragans,190,96,40,0,0,101.5,61.88878915,5.5
KCR,Michael Wacha,140,134.1,127.1,124.2,91.8,131.915,5.272781261,2.185
KCR,Brady Singer,165,159.2,153.1,128.1,173.1,158.875,4.858669228,0.325
LAA,Zach Plesac,65,21.1,131.2,142.2,148.8,61.03,45.2544166,39.93
LAA,Griffin Canning,115,127,0,62.2,151.5,102.935,57.24993935,24.065
LAA,Tyler Anderson,140,141,178.2,167,159.8,148.57,17.77663885,7.57
LAA,Reid Detmers,190,148.2,129,20.2,0,141.96,25.46649215,6.24
LAA,Chase Silseth,90,52.1,28.2,0,0,52.78,25.44462397,0.68
LAA,Patrick Sandoval,165,144.2,148.2,87,97.7,144.815,9.011597466,0.615
LAD,Walker Buehler,115,0,65,207.2,97.7,53.745,47.08148964,53.745
LAD,Yoshinobu Yamamoto,190,0,0,0,0,47.5,89.56685895,47.5
LAD,Bobby Miller,140,124.1,0,0,0,97.05,62.58649127,27.05
LAD,Emmet Sheehan,90,60.1,0,0,0,52.55,37.4255112,7.55
LAD,Tyler Glasnow,165,120,6.2,88,154.2,114.29,66.8272067,5.71
LAD,Gavin Stone,65,31,0,0,0,31.75,26.54555832,0.75
MIA,Trever Rogers,90,0,0,0,0,22.5,42.42640687,22.5
MIA,Braxton Garrett,165,159.2,88,34,19.4,136.72,35.01123629,22.48
MIA,Max Meyer,65,0,6,0,0,17.15,29.32954521,17.15
MIA,Eury Perez,115,91.1,0,0,0,74.3,49.54842749,16.8
MIA,Jesus Luzardo,190,178.2,100.1,95.1,159.3,164.335,39.8899319,13.865
MIA,Edward Cabrera,140,99.2,71.2,26.1,0,96.585,28.24905111,2.615
MIL,Colin Rea,115,124.2,0,6,37.8,93.04,56.5049457,31.16
MIL,Robert Gasser,90,0,0,0,0,22.5,42.42640687,22.5
MIL,Joe Ross,65,0,0,108,0,21.65,30.64129385,21.65
MIL,Freddy Peralta,165,165.2,78,144.1,78.6,146.685,41.05941494,18.515
MIL,Wade Miley,140,120.1,37,163,38.1,110.655,44.61018817,9.445
MIL,Corbin Burnes,190,193.2,202,167,159.8,190.74,5.073679357,2.46
MIN,Chris Paddack,90,5,22.1,108.1,159.3,41.685,36.70879398,36.685
MIN,Bailey Ober,140,144.1,56,92.1,0,120.055,40.59887793,24.045
MIN,Joe Ryan,165,161.2,147,26.2,0,145.21,7.746540446,15.99
MIN,Pablo Lopez,190,194,180,102.2,154.2,184.32,5.887840578,9.68
MIN,Louie Varland,115,68,26,0,0,66.65,36.35320557,1.35
NYM,Kodai Senga,190,166.1,0,0,0,130.55,84.49879684,35.55
NYM,Jose Quintana,165,75.2,165.2,63,27,108.13,42.37934507,32.93
NYM,David Peterson,65,111,105.2,66.2,132.8,97.48,20.45504556,13.52
NYM,Sean Manaea,115,117.2,158,179.1,145.8,127.295,19.77225891,10.095
NYM,Luis Severino,140,89.1,102,6,0,95.15,21.60560627,6.05
NYM,Adrian Houser,90,111.1,102.2,142.1,151.2,108.045,8.64908473,3.055
NYY,Carlos Rodon,165,64.1,178,132.2,19.4,107.58,50.90625371,43.48
NYY,Clarke Schmidt,115,159,57.2,6.1,16.5,117.96,41.68676848,41.04
NYY,Nestor Cortes,140,63.1,158.1,93,19.4,95.885,41.18551525,32.785
NYY,Clayton Beeter,90,0,0,0,0,22.5,42.42640687,22.5
NYY,Will Warren,65,0,0,0,0,16.25,30.64129385,16.25
NYY,Gerrit Cole,190,209,200.2,181.1,197.1,200.94,7.763733352,8.06
OAK,Ken Waldichuk,65,141,34.2,0,0,91.88,44.88365206,49.12
OAK,JP Sears,190,172.1,70,0,0,144.05,52.85706092,28.05
OAK,Joe Boyle,115,16,0,0,0,36.75,50.86146762,20.75
OAK,Luis Medina,140,109.2,0,0,0,89.6,60.06781353,19.6
OAK,Paul Blackburn,165,103.2,111.1,38.1,5.7,111.705,27.46080034,8.505
OAK,Osvaldo Bido,90,50.2,0,0,0,47.6,36.82402597,2.6
PHI,Christopher Sanchez,90,0,0,0,0,22.5,42.42640687,22.5
PHI,Taijuan Walker,115,172.2,157.1,159,143.4,153.535,24.20344328,18.665
PHI,Zack Wheeler,165,192,153,213.1,191.7,180.44,16.30950643,11.56
PHI,Ranger Suarez,140,125,155.1,106,10.8,126.605,12.28829615,1.605
PHI,Aaron Nola,190,193.2,205,180.2,192,193.46,6.450495244,0.26
PIT,Marco Gonzales,140,50,183,143.1,186.8,103.945,55.41560149,53.945
PIT,Luis L. Ortiz,115,0,0,0,0,28.75,54.21151989,28.75
PIT,Mitch Keller,190,194.1,159,100.2,57.2,176.27,15.6695742,17.83
PIT,Jared Jones,65,0,0,0,0,16.25,30.64129385,16.25
PIT,Martin Perez,165,141.2,196.1,114,167.4,155.335,22.47878012,14.135
PIT,Quinn Priester,90,50,0,0,0,47.5,36.81787006,2.5
SDP,Joe Musgrove,190,97.1,181,181.1,105.8,137.545,41.8338247,40.445
SDP,Yu Darvish,165,136.1,194.2,166.1,205.2,156.995,23.71933108,20.895
SDP,Randy Vasquez,115,37.2,0,0,0,47.35,47.91390427,10.15
SDP,Michael King,140,104.2,51,63.1,70.7,101.44,36.56482827,2.76
SDP,Pedro Avila,90,50.1,4,4,0,48.35,35.13975273,1.75
SEA,Bryce Miller,115,131.1,0,0,0,94.3,58.37752612,36.8
SEA,George Kirby,165,190.2,130,0,0,155.85,24.68485816,34.35
SEA,Luis Castillo,190,197,3.2,187.2,189,165.29,89.75378667,31.71
SEA,Logan Gilbert,140,190.2,185.2,119.1,0,163.835,22.57845581,26.365
SEA,Bryan Woo,90,87.2,0,0,0,66.1,41.78208016,21.1
SEA,Anthony DeSclafani,65,99.2,19,167.2,89.6,81.54,32.85943125,17.66
SFG,Ross Stripling,165,89,134.1,101.1,132.6,117.55,31.20687246,28.55
SFG,Tristan Beck,65,85,0,0,0,58.75,36.28590176,26.25
SFG,Alex Cobb,90,151.1,149.2,93.1,140.7,132.12,28.36558948,18.98
SFG,Kyle Harrison,140,34.2,0,0,0,52.1,59.59425774,17.9
SFG,Logan Webb,190,216,192.1,148.1,146.1,199.025,11.7927473,16.975
SFG,Keaton Winn,115,42.1,0,0,0,49.8,47.50651417,7.7
STL,Kyle Gibson,115,192,167.2,182,181.2,167.99,32.09167424,24.01
STL,Miles Mikolas,190,201.1,202.1,44.2,0,180.575,5.483510635,20.525
STL,Lance Lynn,140,183.2,121.2,157,226.8,163.97,25.95654488,19.23
STL,Sonny Gray,165,184,119.2,135.1,151.2,165.445,27.19820255,18.555
STL,Steven Matz,90,105,48,150.2,81.5,93.785,24.12467616,11.215
TBR,Taj Bradley,90,104.2,0,0,0,74.6,46.13901699,29.6
TBR,Shane Baz,65,0,27,13.1,0,20.955,26.66249967,20.955
TBR,Zach Eflin,190,177.2,75.2,105.2,159.3,160.605,51.36674238,16.595
TBR,Ryan Pepiot,115,42,36.1,0,0,55.165,35.88410357,13.165
TBR,Aaron Civale,165,122.1,97,124.1,199.8,133.045,28.07612667,10.945
TBR,Zack Littell,140,90,44.1,61.2,16.5,90.5,39.16293599,0.5
TEX,Andrew Heaney,115,147.1,72.2,129.2,178.7,128.525,30.68162679,18.575
TEX,Dane Dunning,140,172.2,153.1,117.2,91.8,154.515,13.22144722,17.685
TEX,Owen White,65,4,0,0,0,18.25,29.74334659,14.25
TEX,Max Scherzer,90,152.2,145.1,179.1,181.2,138.38,27.79940047,13.82
TEX,Nathan Eovaldi,190,144,109.1,182.1,129.9,151.465,33.13075107,7.465
TEX,Jon Gray,165,157.1,127.1,149,105.3,151.58,16.32591668,5.52
TOR,Yusei Kikuchi,115,167.2,100.2,157,126.9,141.575,28.73805066,25.625
TOR,Jose Berrios,140,189.2,172,192,170.1,173.505,20.3864879,15.695
TOR,Chris Bassitt,165,200,181.2,157.1,170.1,184.79,14.30182584,15.21
TOR,Alek Manoah,90,87.1,196.2,111.2,0,101.04,50.76050521,13.94
TOR,Kevin Gausman,190,185,174.2,192,159.8,183.72,6.59359959,1.28
WSN,Jake Irvin,115,121,0,0,0,89.25,55.67963921,31.75
WSN,MacKenzie Gore,140,136.1,70,0,0,113.55,32.11856507,22.55
WSN,Trevor Willians,90,0,0,0,0,22.5,42.42640687,22.5
WSN,Josiah Gray,165,159,148.2,70.2,0,146.49,6.951258879,12.51
WSN,Jackson Rutledge,65,20,0,0,0,26.25,27.18251072,6.25
WSN,Patrick Corbin,190,180,152.2,171.2,176,177.69,15.99194242,2.31